State Date       Time   Providers Details
NC    2022-04-26 05-20  +12       ['NC,Avon,27915,Outer Banks Family Medicine Avon', 'NC,Boone,28607,Boone Drug At Deerfield', 'NC,Charlotte,28210,Walgreens Store #18053', 'NC,Elkin,28621,Walgreens Store #11201', 'NC,Fayetteville,28301,Walgreens Store #06547', 'NC,Fayetteville,28303,Walgreens Store #17862', 'NC,High Point,27262,Walgreens Store #06315', 'NC,Ocracoke,27960,Ocracoke Health Center Inc', 'NC,Rocky Mount,27804,Walgreens Store #19865', 'NC,Spring Lake,28390,Walgreens Store #11693', 'NC,Wilmington,28401,Novant Health Nhrmc Outpatient', 'NC,Wilmington,28401,Promina Health Pc']
NC    2022-04-26 05-20  -7        ['NC,Cary,27511,Walgreens Store #10541', 'NC,Chapel Hill,27514,Cvs Store #03898', 'NC,Charlotte,28216,Walgreens Store #10275', 'NC,Clayton,27520,Walgreens Store #07801', 'NC,Fayetteville,28314,Cvs Store #16231', 'NC,New Bern,28562,Realo Drugs Craven', 'NC,Raleigh,27609,Cvs Store #03589']
NC    2022-04-27 05-23  +5        ['NC,Chapel Hill,27514,Cvs Store #03898', 'NC,Huntersville,28078,Nh Gohealth Huntersville', 'NC,Kenansville,28349,Cvs Store #07043', 'NC,Pink Hill,28572,Southern Pharmacy Pink Hill', 'NC,Raleigh,27609,Cvs Store #03589']
NC    2022-04-27 05-23  -11       ['NC,Atkinson,28421,Atkinson Drug', 'NC,Cary,27519,White Dove Pharmacy', 'NC,Chocowinity,27817,Oneals Drug Store', 'NC,Clayton,27520,Beddingfield Drugs', 'NC,Columbia,27925,Columbia Pharmacy Inc', 'NC,Goldsboro,27530,Marmac Pharmacy', 'NC,Goldsboro,27530,Rosewood Pharmacy', 'NC,Henderson,27536,Medical Arts Pharmacy Of Henderson', 'NC,Lillington,27546,Cvs Store #07597', 'NC,Mebane,27302,Walmart Pharmacy #5346', 'NC,Williamston,27892,Costwise Pharmacy']
NC    2022-04-28 09-22  +18       ['NC,Beaufort,28516,Realo Discount Drugs- 1897 Live Oak', 'NC,Benson,27504,Benson Health', 'NC,Chapel Hill,27516,501 Pharmacy', 'NC,Charlotte,28216,Walgreens Store #10275', 'NC,Cherryville,28021,Walmart Pharmacy #4594', 'NC,Clayton,27520,Walgreens Store #07801', 'NC,Clayton,27520,Walmart Pharmacy #5046', 'NC,Dallas,28034,Walgreens Store #10608', 'NC,Durham,27703,Walgreens Store #16137', 'NC,Fort Bragg,28310,Womack Army Medical Center', 'NC,Fuquay Varina,27526,Walmart Pharmacy #2836', 'NC,Jacksonville,28546,Sams Pharmacy #6573', 'NC,Mebane,27302,Walmart Pharmacy #5346', 'NC,Morehead City,28557,Walgreens Store #10434', 'NC,New Bern,28562,Realo Drugs Craven', 'NC,Rocky Mount,27804,Nash Unc Healthcare', 'NC,Troutman,28166,Walgreens Store #16120', 'NC,Winston Salem,27103,Sams Pharmacy #8228']
NC    2022-04-28 09-22  -10       ['NC,Apex,27502,Walgreens Store #07365', 'NC,Durham,27703,Unc Hillsborough Outpatient Pharmac', 'NC,Fayetteville,28301,Walgreens Store #06547', 'NC,Fayetteville,28304,Walgreens Store #19644', 'NC,Greensboro,27405,Walgreens Store #09135', 'NC,Indian Trail,28079,Walgreens Store #07401', 'NC,King,27021,Stokes Pharmacy', 'NC,Mt. Pleasant,28124,Moose Drug Company', 'NC,Siler City,27344,Siler City Pharmacy Llc', 'NC,Winston Salem,27103,Walgreens Store #07397']
NC    2022-04-29 05-13  +11       ['NC,Asheville,28801,Medical Center Pharmacy', 'NC,Cary,27511,Walgreens Store #10541', 'NC,King,27021,Stokes Pharmacy', 'NC,Louisburg,27549,Family Pharmacy Of Louisburg', 'NC,Morganton,28655,Stout Scripts Dba Table Rock Pharma', 'NC,Raleigh,27608,Hayes Barton Pharmacy', 'NC,Saint Pauls,28384,Brisson Drugs', 'NC,Seymour Johnson Afb,27531,4 Mdss/Sgsl', 'NC,Siler City,27344,Siler City Pharmacy Llc', 'NC,Spruce Pine,28777,Mission Pharmacy-Blue Ridge', 'NC,Winston-Salem,27103,Medipack Pharmacy, Llc']
NC    2022-04-29 05-13  -9        ['NC,Cary,27513,Walgreens Store #07341', 'NC,Cary,27519,Walgreens Store #07169', 'NC,Chapel Hill,27516,501 Pharmacy', 'NC,Fayetteville,28306,Health Matters Pharmacy', 'NC,Greensboro,27408,Walgreens Store #12283', 'NC,Kernersville,27284,Cvs Store #17217', 'NC,Raleigh,27604,Walgreens Store #10087', 'NC,Raleigh,27695,Nc State University Student Health', 'NC,Supply,28462,Galloway-Sands Pharmacy 1']
NC    2022-04-30 05-15  +96       ['NC,Apex,27523,Harris Teeter Pharmacy 09700496', 'NC,Belmont,28012,Harris Teeter Pharmacy 09700386', 'NC,Burlington,27215,Harris Teeter Pharmacy 09700345', 'NC,Cameron,28326,Cvs Store #10157', 'NC,Cary,27518,Harris Teeter Pharmacy 09700257', 'NC,Cary,27518,Harris Teeter Pharmacy 09700331', 'NC,Cary,27519,Harris Teeter Pharmacy 09700138', 'NC,Cary,27519,Harris Teeter Pharmacy 09700298', 'NC,Chapel Hill,27514,Harris Teeter Pharmacy 09700117', 'NC,Chapel Hill,27517,Harris Teeter Pharmacy 09700120', 'NC,Charlotte,28205,Dd Pharmacy', 'NC,Charlotte,28205,Harris Teeter Pharmacy 09700401', 'NC,Charlotte,28205,Oakhurst Pharmacy', 'NC,Charlotte,28210,Harris Teeter Pharmacy 09700204', 'NC,Charlotte,28211,Harris Teeter Pharmacy 09700160', 'NC,Charlotte,28215,Harris Teeter Pharmacy 09700046', 'NC,Charlotte,28217,Cvs Store #03526', 'NC,Charlotte,28269,Harris Teeter Pharmacy 09700472', 'NC,Charlotte,28277,Harris Teeter Pharmacy 09700045', 'NC,Charlotte,28277,Harris Teeter Pharmacy 09700317', 'NC,Charlotte,28277,Harris Teeter Pharmacy 09700440', 'NC,Clayton,27520,Beddingfield Drugs', 'NC,Clayton,27527,Harris Teeter Pharmacy 09700229', 'NC,Cornelius,28031,Harris Teeter Pharmacy 09700179', 'NC,Cornelius,28031,Harris Teeter Pharmacy 09700416', 'NC,Dallas,28034,Cvs Store #06406', 'NC,Davidson,28036,Harris Teeter Pharmacy 09700268', 'NC,Duck,27949,Sunshine Family Pharmacy', 'NC,Durham,27704,Harris Teeter Pharmacy 09700493', 'NC,Durham,27705,Harris Teeter Pharmacy 09700254', 'NC,Durham,27705,Harris Teeter Pharmacy 09700497', 'NC,Durham,27707,Harris Teeter Pharmacy 09700224', 'NC,Durham,27713,Harris Teeter Pharmacy 09700491', 'NC,Enfield,27823,Drugcare Pharmacy', 'NC,Fayetteville,28306,Harris Teeter Pharmacy 09700393', 'NC,Fayetteville,28306,Village Pharmacy', 'NC,Fayetteville,28314,Cvs Store #16231', 'NC,Gastonia,28054,Harris Teeter Pharmacy 09700281', 'NC,Goldsboro,27534,Cvs Store #07021', 'NC,Greensboro,27405,Adler Pharmacy', 'NC,Greensboro,27407,Harris Teeter Pharmacy 09700064', 'NC,Greensboro,27408,Harris Teeter Pharmacy 09700347', 'NC,Greensboro,27410,Harris Teeter Pharmacy 09700033', 'NC,Greensboro,27410,Harris Teeter Pharmacy 09700280', 'NC,Greensboro,27410,Harris Teeter Pharmacy 09700342', 'NC,Greenville,27834,Harris Teeter Pharmacy 09700362', 'NC,Hampstead,28443,Village Pharmacy', 'NC,Harrisburg,28075,Harris Teeter Pharmacy 09700092', 'NC,Hatteras,27943,Beach Pharmacy Of Hatteras', 'NC,Hendersonvlle,28792,Harris Teeter Pharmacy 09700379', 'NC,High Point,27262,Harris Teeter Pharmacy 09700341', 'NC,Huntersville,28078,Harris Teeter Pharmacy 09700209', 'NC,Huntersville,28078,Harris Teeter Pharmacy 09700272', 'NC,Huntersville,28078,Harris Teeter Pharmacy 09700340', 'NC,Huntersville,28078,Walgreens Store #07400', 'NC,Indian Trail,28079,Harris Teeter Pharmacy 09700129', 'NC,Indian Trail,28079,Walgreens Store #07401', 'NC,Laurinburg,28352,Medical Village Pharmacy', 'NC,Lexington,27295,Walmart Pharmacy #7205', 'NC,Liberty,27298,Cvs Store #05377', 'NC,Lillington,27546,Cvs Store #07597', 'NC,Manteo,27954,Island Pharmacy', 'NC,Matthews,28104,Harris Teeter Pharmacy 09700343', 'NC,Matthews,28104,Harris Teeter Pharmacy 09700473', 'NC,Mint Hill,28227,Harris Teeter Pharmacy 09700474', 'NC,Mooresville,28117,Harris Teeter Pharmacy 09700099', 'NC,Mooresville,28117,Harris Teeter Pharmacy 09700274', 'NC,Morehead City,28557,Harris Teeter Pharmacy 09700265', 'NC,Morrisville,27560,Harris Teeter Pharmacy 09700104', 'NC,New Bern,28562,Harris Teeter Pharmacy 09700421', 'NC,Pinehurst,28374,Harris Teeter Pharmacy 09700080', 'NC,Raleigh,27603,Harris Teeter Pharmacy 09700283', 'NC,Raleigh,27609,Harris Teeter Pharmacy 09700344', 'NC,Raleigh,27612,Harris Teeter Pharmacy 09700069', 'NC,Raleigh,27613,Harris Teeter Pharmacy 09700090', 'NC,Raleigh,27614,Harris Teeter Pharmacy 09700367', 'NC,Raleigh,27615,Harris Teeter Pharmacy 09700136', 'NC,Reidsville,27320,Carolina Apothecary Inc', 'NC,Rocky Mount,27804,Rocky Mount Medical Park Pharm', 'NC,Scotland Neck,27874,Mcdowells Pharmacy', 'NC,Southport,28461,Gallowaysands Pharmacy 2', 'NC,Star,27356,Montgomery Health Center Pharmacy', 'NC,Swannanoa,28778,Psa Clinic Pharmacy', 'NC,Tarboro,27886,Thorne Drug Company', 'NC,Wake Forest,27587,Harris Teeter Pharmacy 09700043', 'NC,Wake Forest,27587,Harris Teeter Pharmacy 09700353', 'NC,Wake Forest,27587,Harris Teeter Pharmacy 09700395', 'NC,Wesley Chapel,28104,Cvs Store #17458', 'NC,Wilmington,28401,Market Street Pharmacy', 'NC,Wilmington,28405,Harris Teeter Pharmacy 09700210', 'NC,Wilmington,28412,Harris Teeter Pharmacy 09700096', 'NC,Wilson,27896,Harris Teeter Pharmacy 09700354', 'NC,Winston Salem,27103,Harris Teeter Pharmacy 09700216', 'NC,Winston Salem,27104,Harris Teeter Pharmacy 09700037', 'NC,Winston Salem,27106,Harris Teeter Pharmacy 09700127', 'NC,Winston-Salem,27106,Cvs Store #03518']
NC    2022-04-30 05-15  -9        ['NC,Burlington,27215,Total Care Pharmacy', 'NC,Cary,27519,Cvs Store #02754', 'NC,Clemmons,27012,Walgreens Store #09558', 'NC,Greensboro,27455,Walgreens Store #09236', 'NC,Robbinsville,28771,Tallulah Pharmacy', 'NC,Rocky Mount,27804,Cvs Store #07330', 'NC,Swansboro,28584,Walmart Pharmacy #7179', 'NC,Wake Forest,27587,Walgreens Store #09156', 'NC,Whiteville,28472,Walgreens Store #09898']
NC    2022-05-01 05-13  +1        ['NC,Fayetteville,28306,Health Matters Pharmacy']
NC    2022-05-02 06-02  +1        ['NC,Hickory,28601,Medical Center Pharmacy Inc']
NC    2022-05-02 06-02  -1        ['NC,Durham,27710,Duke Childrens Outpatient Pharmacy']
NC    2022-05-03 06-05  +43       ['NC,Asheville,28805,Cvs Store #16930', 'NC,Burlington,27215,Total Care Pharmacy', 'NC,Cary,27511,Harris Teeter Pharmacy 09700430', 'NC,Cary,27513,Harris Teeter Pharmacy 09700112', 'NC,Cary,27518,Harris Teeter Pharmacy 09700330', 'NC,Chapel Hill,27516,Harris Teeter Pharmacy 09700223', 'NC,Charlotte,28211,Harris Teeter Pharmacy 09700208', 'NC,Charlotte,28226,Harris Teeter Pharmacy 09700004', 'NC,Charlotte,28226,Harris Teeter Pharmacy 09700030', 'NC,Charlotte,28227,Harris Teeter Pharmacy 09700174', 'NC,Charlotte,28262,Harris Teeter Pharmacy 09700220', 'NC,Charlotte,28269,Harris Teeter Pharmacy 09700122', 'NC,Charlotte,28277,Harris Teeter Pharmacy 09700011', 'NC,Charlotte,28277,Harris Teeter Pharmacy 09700027', 'NC,Charlotte,28278,Harris Teeter Pharmacy 09700003', 'NC,Charlotte,28278,Harris Teeter Pharmacy 09700088', 'NC,Concord,28025,Harris Teeter Pharmacy 09700202', 'NC,Concord,28027,Harris Teeter Pharmacy 09700068', 'NC,Concord,28027,Harris Teeter Pharmacy 09700190', 'NC,Durham,27705,Harris Teeter Pharmacy 09700394', 'NC,Durham,27705,Harris Teeter Pharmacy 09700492', 'NC,Durham,27707,Walmart Pharmacy #2137', 'NC,Fuquay Varina,27526,Harris Teeter Pharmacy 09700498', 'NC,Goldsboro,27534,Harris Teeter Pharmacy 09700115', 'NC,Greensboro,27410,Harris Teeter Pharmacy 09700306', 'NC,Greenville,27858,Harris Teeter Pharmacy 09700287', 'NC,Henderson,27536,Medical Arts Pharmacy Of Henderson', 'NC,Kernersville,27284,Harris Teeter Pharmacy 09700250', 'NC,Matthews,28104,Harris Teeter Pharmacy 09700273', 'NC,New Bern,28562,Harris Teeter Pharmacy 09700139', 'NC,Oxford,27565,Cvs Store #03985', 'NC,Raleigh,27609,Harris Teeter Pharmacy 09700422', 'NC,Raleigh,27612,Harris Teeter Pharmacy 09700319', 'NC,Raleigh,27613,Harris Teeter Pharmacy 09700495', 'NC,Raleigh,27615,Cvs Store #17818', 'NC,Raleigh,27617,Harris Teeter Pharmacy 09700304', 'NC,Supply,28462,Galloway-Sands Pharmacy 1', 'NC,Swansboro,28584,Walmart Pharmacy #7179', 'NC,Troy,27371,Cvs Store #07547', 'NC,Wake Forest,27587,Sams Pharmacy #6976', 'NC,Waxhaw,28173,Harris Teeter Pharmacy 09700182', 'NC,Wilmington,28403,Harris Teeter Pharmacy 09700158', 'NC,Wilmington,28411,Harris Teeter Pharmacy 09700191']
NC    2022-05-03 06-05  -4        ['NC,Goldsboro,27534,Wayne Pharmacy, Inc', 'NC,Raleigh,27607,Cvs Store #10863', 'NC,Wake Forest,27587,Cvs Store #16834', 'NC,Wilmington,28401,Cvs Store #03836']
NC    2022-05-04 05-12  +12       ['NC,Bakersville,28705,Roan Mountain Pharmacy Of Bakersvil', 'NC,Boone,28607,Boone Drug At New Market', 'NC,Burnsville,28714,The Prescription Pad Of Burnsville', 'NC,Butner,27509,Quality Drug', 'NC,Cary,27511,Adhererx Pharmacy North Carolina', 'NC,Cary,27518,Cary Medical Group', 'NC,Goldsboro,27534,Wayne Pharmacy, Inc', 'NC,Leland,28451,Harris Teeter Pharmacy 09700225', 'NC,Marshall,28753,Madison County Health Department', 'NC,Matthews,28104,Harris Teeter Pharmacy 09700249', 'NC,Wake Forest,27587,Cvs Store #16834', 'NC,Washington,27889,Beaufort County Health Department']
NC    2022-05-04 05-12  -3        ['NC,Charlotte,28208,Cvs Store #07688', 'NC,Southport,28461,Gallowaysands Pharmacy 2', 'NC,Wilmington,28411,Cvs Store #05557']
NC    2022-05-05 09-49  +14       ['NC,Asheville,28801,Mission Cancer Infusion Services Ph', 'NC,Chapel Hill,27516,501 Pharmacy', 'NC,Clayton,27520,Windsor Point Pharmacy', 'NC,Greensboro,27455,Harris Teeter Pharmacy 09700091', 'NC,Hampstead,28443,Harris Teeter Pharmacy 09700135', 'NC,Kernersville,27284,Cvs Store #17217', 'NC,Kinston,28501,Kinston Clinic Pharmacy', 'NC,Linville,28646,Avery Pharmacy', 'NC,Raleigh,27605,Harris Teeter Pharmacy 09700021', 'NC,Raleigh,27607,Cvs Store #10863', 'NC,Raleigh,27610,Wakemed Cary Medical Park Pharmacy', 'NC,Sparta,28675,Halsey Drug', 'NC,Taylorsville,28681,Peoples Drug Store', 'NC,Wilmington,28411,Cvs Store #05557']
NC    2022-05-05 09-49  -4        ['NC,Burlington,27215,Cvs Store #03853', 'NC,Davidson,28036,Cvs Store #06402', 'NC,Durham,27713,Cvs Store #17157', 'NC,Greensboro,27407,Cvs Store #16458']
NC    2022-05-06 06-12  +34       ['NC,Apex,27502,Walgreens Store #07365', 'NC,Asheville,28804,Walgreens Store #09458', 'NC,Belmont,28012,Walmart Pharmacy #5085', 'NC,Benson,27504,Walgreens Store #16156', 'NC,Burlington,27215,Cvs Store #03853', 'NC,Burlington,27215,Walgreens Store #17900', 'NC,Cary,27513,Walgreens Store #07341', 'NC,Cary,27519,Cvs Store #02754', 'NC,Cary,27519,Harris Teeter Pharmacy 09700236', 'NC,Cary,27519,Walgreens Store #07169', 'NC,Charlotte,28211,Walgreens Store #01376', 'NC,Concord,28025,Concord Pharmacy And Surgical Suppl', 'NC,Davidson,28036,Cvs Store #06402', 'NC,Dunn,28334,Walgreens Store #12895', 'NC,Eden,27288,Eden Drug Inc', 'NC,Elizabethtown,28337,Walgreens Store #15273', 'NC,Fayetteville,28301,Walgreens Store #06547', 'NC,Fuquay Varina,27526,Walgreens Store #07170', 'NC,Greensboro,27401,Wesley Long Outpatient Pharmacy', 'NC,Greensboro,27410,Walmart Pharmacy #6176', 'NC,Greensboro,27455,Walgreens Store #09236', 'NC,Holly Springs,27540,Harris Teeter Pharmacy 09700311', 'NC,Mount Olive,28365,Walgreens Store #13854', 'NC,Raleigh,27604,Walgreens Store #10087', 'NC,Raleigh,27612,Walgreens Store #19403', 'NC,Rocky Mount,27804,Cvs Store #07330', 'NC,Shelby,28150,Walgreens Store #17292', 'NC,Smithfield,27577,Walgreens Store #09434', 'NC,Wake Forest,27587,Walgreens Store #09156', 'NC,Whiteville,28472,Walgreens Store #09898', 'NC,Wilmington,28401,Cvs Store #03836', 'NC,Winston Salem,27103,Walgreens Store #07397', 'NC,Winston Salem,27103,Walmart Pharmacy #2472', 'NC,Zebulon,27597,Walgreens Store #12063']
NC    2022-05-06 06-12  -30       ['NC,Aberdeen,28315,Walgreens Store #07096', 'NC,Asheville,28805,Walgreens Store #10212', 'NC,Canton,28716,Ingles Pharmacy 055', 'NC,Charlotte,28210,Walgreens Store #18053', 'NC,Charlotte,28262,Walgreens Store #04547', 'NC,Charlotte,28262,Walgreens Store #06480', 'NC,Clinton,28328,Sampson Regional Medical Center', 'NC,Garner,27529,Walgreens Store #10085', 'NC,Greensboro,27408,Cvs Store #16538', 'NC,Greenville,27858,Walgreens Store #02453', 'NC,Hendersonville,28791,Walgreens Store #10886', 'NC,Holly Springs,27540,Walgreens Store #07505', 'NC,Jamestown,27282,Walgreens Store #15440', 'NC,Lexington,27292,Walgreens Store #12437', 'NC,Marion,28752,The Prescription Pad Of Marion', 'NC,Matthews,28105,Walgreens Store #06479', 'NC,Mint Hill,28227,Harris Teeter Pharmacy 09700474', 'NC,Mooresville,28117,Walgreens Store #06688', 'NC,Pembroke,28372,Walgreens Store #16119', 'NC,Raleigh,27609,Walgreens Store #01611', 'NC,Raleigh,27609,Walgreens Store #15474', 'NC,Raleigh,27612,Walgreens Store #09634', 'NC,Rocky Mount,27804,Walgreens Store #07548', 'NC,Southport,28461,Walgreens Store #02530', 'NC,Sunset Beach,28468,Walgreens Store #07749', 'NC,Troutman,28166,Walgreens Store #16120', 'NC,Wilmington,28401,Walgreens Store #01319', 'NC,Wilmington,28412,Cvs Store #04622', 'NC,Wilmington,28412,Walgreens Store #01560', 'NC,Winston Salem,27106,Walgreens Store #07647']
NC    2022-05-07 05-45  +16       ['NC,Aberdeen,28315,Harris Teeter Pharmacy 09700029', 'NC,Asheville,28804,Range Urgent Care', 'NC,Asheville,28804,Range Urgent Care - Black Mountain', 'NC,Atkinson,28421,Atkinson Drug', 'NC,Charlotte,28217,C W Williams Community Health Cente', 'NC,Charlotte,28227,Walmart Pharmacy #4148', 'NC,Charlotte,28270,Walmart Pharmacy #5063', 'NC,Concord,28027,Walmart Pharmacy #6586', 'NC,Durham,27703,Unc Hillsborough Outpatient Pharmac', 'NC,Durham,27710,Duke Childrens Outpatient Pharmacy', 'NC,Durham,27713,Cvs Store #17157', 'NC,Holly Springs,27540,Harris Teeter Pharmacy 09700118', 'NC,Mooresville,28115,Walmart Pharmacy #4431', 'NC,Raleigh,27615,Health Park Pharmacy', 'NC,Warrensville,28693,Warrensville Drug Store', 'NC,Wilmington,28412,Cvs Store #04622']
NC    2022-05-07 05-45  -5        ['NC,Boone,28607,Boone Drug At Deerfield', 'NC,Burlington,27215,Total Care Pharmacy', 'NC,Gastonia,28056,Humana Retail Pharmacy', 'NC,Monroe,28110,Walmart Pharmacy #877', 'NC,Southport,28461,Walmart Pharmacy #2772']
NC    2022-05-08 10-02  +1        ['NC,Canton,28716,Ingles Pharmacy 055']
NC    2022-05-08 10-02  -1        ['NC,Sanford,27330,Sanford Pharmacy']
NC    2022-05-09 05-08  -2        ['NC,Durham,27710,Duke Childrens Outpatient Pharmacy', 'NC,Marion,28752,Marion Pharmacy West']
NC    2022-05-10 06-06  +6        ['NC,Charlotte,28208,Cvs Store #07688', 'NC,Charlotte,28216,Harris Teeter Pharmacy 09700366', 'NC,Clinton,28328,Sampson Regional Medical Center', 'NC,Concord,28027,Truecare Pharmacy', 'NC,Greensboro,27407,Cvs Store #16458', 'NC,Monroe,28110,Walmart Pharmacy #877']
NC    2022-05-10 06-06  -8        ['NC,Belhaven,27810,Oneals Drug Store Inc', 'NC,Benson,27504,Eastern Carolina Med Ctr Pharm', 'NC,Charlotte,28211,Randolph Medical Pharmacy', 'NC,Mount Gilead,27306,Cochrane Ridenhour Drug', 'NC,Mt Airy,27030,Wallys Pharmacy', 'NC,Ocean Isle Beach,28469,Cvs Store #07048', 'NC,Oxford,27565,Professional Pharmacy Of Oxford', 'NC,Taylorsville,28681,Office Practice Of Pharmacy Ll']
NC    2022-05-11 06-51  +16       ['NC,Asheville,28803,Mission Community Pharmacy', 'NC,Boone,28607,Boone Drug At Deerfield', 'NC,Burlington,27215,Total Care Pharmacy', 'NC,Charlotte,28210,Walgreens Store #18053', 'NC,Charlotte,28262,Walgreens Store #04547', 'NC,Charlotte,28262,Walgreens Store #06480', 'NC,Fayetteville,28304,Walgreens Store #19644', 'NC,Greensboro,27408,Cvs Store #16538', 'NC,Greenville,27858,Walgreens Store #02453', 'NC,High Point,27265,Harris Teeter Pharmacy 09700173', 'NC,Lexington,27292,Walgreens Store #12437', 'NC,Nebo,28761,Mcdowell Community Pharmacy', 'NC,Ocean Isle Beach,28469,Cvs Store #07048', 'NC,Taylorsville,28681,Office Practice Of Pharmacy Ll', 'NC,Troutman,28166,Piedmont Hc Troutman Family Medicin', 'NC,Wilmington,28401,Walgreens Store #01319']
NC    2022-05-11 06-51  -15       ['NC,Cary,27518,Walgreens Store #09757', 'NC,Chapel Hill,27517,Harris Teeter Pharmacy 09700120', 'NC,Charlotte,28211,Walgreens Store #01376', 'NC,Edenton,27932,Cvs Store #05568', 'NC,Elkin,28621,Walgreens Store #11201', 'NC,Garner,27529,Walgreens Store #11713', 'NC,High Point,27262,Walgreens Store #09527', 'NC,Kinston,28501,Walgreens Store #09897', 'NC,Marion,28752,Walmart Pharmacy #1694', 'NC,Raleigh,27609,Raleigh Medical Group', 'NC,Raleigh,27610,Walgreens Store #07549', 'NC,Salisbury,28146,Walgreens Store #10133', 'NC,Shallotte,28470,Walgreens Store #01051', 'NC,Wake Forest,27587,Walgreens Store #09156', 'NC,Zebulon,27597,Walgreens Store #12063']
NC    2022-05-12 07-16  +37       ['NC,Asheville,28805,Walgreens Store #10212', 'NC,Bryson City,28713,Walgreens Store #16103', 'NC,Candler,28715,Walgreens Store #17251', 'NC,Charlotte,28227,Walgreens Store #19646', 'NC,Garner,27529,Walgreens Store #11713', 'NC,Goldsboro,27534,Walgreens Store #07622', 'NC,Greensboro,27405,Walgreens Store #09135', 'NC,Greensboro,27405,Walgreens Store #16124', 'NC,Greensboro,27405,Walgreens Store #19949', 'NC,Greensboro,27408,Walgreens Store #12283', 'NC,Greenville,27858,Walgreens Store #06616', 'NC,Hendersonville,28791,Walgreens Store #10886', 'NC,High Point,27262,Walgreens Store #09527', 'NC,High Point,27263,Walgreens Store #12047', 'NC,Holly Springs,27540,Walgreens Store #07505', 'NC,Hudson,28638,Walgreens Store #12780', 'NC,Jamestown,27282,Walgreens Store #16129', 'NC,Kannapolis,28083,Walgreens Store #15253', 'NC,Laurinburg,28352,Walgreens Store #15648', 'NC,Monroe,28110,Walgreens Store #19315', 'NC,Mooresville,28115,Walgreens Store #17641', 'NC,Newton,28658,Healthsmart Pharmacy Newton', 'NC,North Wilkesboro,28659,Walgreens Store #17155', 'NC,Oxford,27565,Walgreens Store #12630', 'NC,Pittsboro,27312,Walgreens Store #16142', 'NC,Raleigh,27609,Walgreens Store #15474', 'NC,Raleigh,27610,Wake County Hhs Pharmacy', 'NC,Robbinsville,28771,Walgreens Store #16110', 'NC,Rocky Mount,27804,Walgreens Store #07548', 'NC,Sanford,27330,Walgreens Store #12078', 'NC,Sanford,27330,Walgreens Store #16149', 'NC,Southport,28461,Walgreens Store #02530', 'NC,Troutman,28166,Walgreens Store #16120', 'NC,Wake Forest,27587,Walgreens Store #09156', 'NC,Waxhaw,28173,Walgreens Store #11251', 'NC,Winston Salem,27103,Walgreens Store #21283', 'NC,Winston Salem,27106,Harris Teeter Pharmacy 09700346']
